step,alteration,octave,pitch,type,duration,measureCount,voice
Rest,,,Rest,half,2.0,0,1329830248304
G,,4,G4,half,2.0,0,1329830248304
G,,4,G4,half,2.0,0,1329830248304
G,,4,G4,half,2.0,0,1329830248304
B,-1,4,B[-1]4,whole,4.0,1,1329830248304
A,,4,A4,whole,4.0,1,1329830248304
G,,4,G4,half,2.0,2,1329830248304
F,1,4,F[1]4,half,2.0,2,1329830248304
G,,4,G4,whole,4.0,2,1329830248304
Rest,,,Rest,half,2.0,3,1329830248304
C,,5,C5,half,2.0,3,1329830248304
B,-1,4,B[-1]4,half,2.0,4,1329830248304
A,,4,A4,half,2.0,4,1329830248304
G,,4,G4,half,2.0,4,1329830248304
G,,4,G4,half,2.0,4,1329830248304
A,,4,A4,whole,4.0,5,1329830248304
B,-1,4,B[-1]4,whole,4.0,5,1329830248304
Rest,,,Rest,half,2.0,6,1329830248304
A,,4,A4,half,2.0,6,1329830248304
G,,4,G4,half,2.0,6,1329830248304
F,0,4,F4,half,2.0,6,1329830248304
E,,4,E4,whole,4.0,7,1329830248304
A,,4,A4,whole,4.0,7,1329830248304
B,-1,4,B[-1]4,half,2.0,8,1329830248304
C,,5,C5,half,2.0,8,1329830248304
D,,5,D5,whole,4.0,8,1329830248304
Rest,,,Rest,half,2.0,9,1329830248304
D,,5,D5,half,2.0,9,1329830248304
D,,5,D5,half,2.0,10,1329830248304
D,,5,D5,half,2.0,10,1329830248304
C,,5,C5,half,2.0,10,1329830248304
B,-1,4,B[-1]4,half,2.0,10,1329830248304
A,,4,A4,whole,4.0,11,1329830248304
G,,4,G4,whole,4.0,11,1329830248304
