step,alteration,octave,pitch,type,duration,measureCount,voice
F,,4,F4,half,2.0,0,1329831424736
F,,4,F4,half,2.0,1,1329831424736
A,,4,A4,half,2.0,1,1329831424736
G,,4,G4,half,2.0,1,1329831424736
F,,4,F4,half,2.0,1,1329831424736
E,,4,E4,whole,4.0,2,1329831424736
D,,4,D4,whole,4.0,2,1329831424736
C,,4,C4,whole,4.0,3,1329831424736
F,,4,F4,half,2.0,4,1329831424736
F,,4,F4,whole,4.0,4,1329831424736
A,,4,A4,half,2.0,4,1329831424736
G,,4,G4,whole,4.0,5,1329831424736
F,,4,F4,whole,4.0,6,1329831424736
Rest,,,Rest,half,2.0,6,1329831424736
F,,4,F4,half,2.0,6,1329831424736
F,,4,F4,half,2.0,7,1329831424736
A,,4,A4,half,2.0,7,1329831424736
G,,4,G4,half,2.0,7,1329831424736
F,,4,F4,half,2.0,7,1329831424736
E,,4,E4,whole,4.0,8,1329831424736
D,,4,D4,whole,4.0,8,1329831424736
C,,4,C4,whole,4.0,9,1329831424736
F,,4,F4,half,2.0,10,1329831424736
F,,4,F4,whole,4.0,10,1329831424736
A,,4,A4,half,2.0,10,1329831424736
G,,4,G4,whole,4.0,11,1329831424736
F,,4,F4,whole,4.0,12,1329831424736
Rest,,,Rest,half,2.0,12,1329831424736
F,,4,F4,half,2.0,12,1329831424736
A,,4,A4,half,2.0,13,1329831424736
A,,4,A4,half,2.0,13,1329831424736
B,-1,4,B[-1]4,half,2.0,13,1329831424736
B,-1,4,B[-1]4,half,2.0,13,1329831424736
C,,5,C5,whole,4.0,14,1329831424736
C,,5,C5,whole,4.0,14,1329831424736
B,-1,4,B[-1]4,whole,4.0,15,1329831424736
C,,5,C5,half,2.0,16,1329831424736
F,,4,F4,whole,4.0,16,1329831424736
A,,4,A4,half,2.0,16,1329831424736
A,,4,A4,half,2.0,17,1329831424736
G,,4,G4,half,2.0,17,1329831424736
F,,4,F4,whole,4.0,18,1329831424736
Rest,,,Rest,half,2.0,18,1329831424736
F,,4,F4,half,2.0,18,1329831424736
A,,4,A4,half,2.0,19,1329831424736
A,,4,A4,half,2.0,19,1329831424736
B,-1,4,B[-1]4,half,2.0,19,1329831424736
B,-1,4,B[-1]4,half,2.0,19,1329831424736
C,,5,C5,whole,4.0,20,1329831424736
F,,4,F4,whole,4.0,20,1329831424736
Rest,,,Rest,half,2.0,21,1329831424736
G,,4,G4,half,2.0,21,1329831424736
A,,4,A4,half,2.0,22,1329831424736
A,,4,A4,half,2.0,22,1329831424736
G,,4,G4,half,2.0,22,1329831424736
F,,4,F4,half,2.0,22,1329831424736
E,,4,E4,whole,4.0,23,1329831424736
D,,4,D4,whole,4.0,23,1329831424736
C,,4,C4,whole,4.0,24,1329831424736
F,,4,F4,half,2.0,25,1329831424736
F,,4,F4,whole,4.0,25,1329831424736
A,,4,A4,half,2.0,25,1329831424736
G,,4,G4,whole,4.0,26,1329831424736
F,,4,F4,whole,6.0,27,1329831424736
Rest,,,Rest,half,2.0,27,1329831424736
