step,octave,type,duration,noteCount,measureCount,partCount
G,4,quarter,10080,2,1,6
G,4,quarter,15120,1,2,6
A,4,eighth,5040,2,2,6
B,4,quarter,10080,3,2,6
A,4,half,20160,1,3,6
G,4,quarter,10080,2,3,6
A,4,quarter,15120,1,4,6
B,4,eighth,5040,2,4,6
C,5,quarter,10080,3,4,6
D,5,half,20160,1,5,6
D,5,quarter,10080,2,5,6
C,5,quarter,15120,1,6,6
B,4,eighth,5040,2,6,6
A,4,quarter,10080,3,6,6
B,4,quarter,10080,1,7,6
G,4,half,20160,2,7,6
F,4,half,30240,1,8,6
F,4,quarter,10080,1,9,6
Rest,,quarter,10080,2,9,6
F,4,quarter,10080,3,9,6
A,4,half,20160,1,10,6
B,4,quarter,10080,2,10,6
C,5,half,20160,1,11,6
B,4,quarter,10080,2,11,6
G,4,quarter,15120,1,12,6
A,4,eighth,5040,2,12,6
B,4,quarter,10080,3,12,6
A,4,half,20160,1,13,6
G,4,quarter,10080,2,13,6
F,4,quarter,10080,1,14,6
D,4,half,20160,2,14,6
G,4,half,20160,1,15,6
F,4,quarter,10080,2,15,6
G,4,half,30240,1,16,6
G,4,quarter,10080,1,17,6
Rest,,quarter,10080,2,17,6
Rest,,quarter,10080,3,17,6
