step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,half,2.0,0,2160215896992
B,-1,4,B[-1]4,half,2.0,1,2160215896992
B,,4,B4,half,2.0,1,2160215896992
C,,5,C5,half,2.0,1,2160215896992
C,,5,C5,half,2.0,1,2160215896992
D,,5,D5,whole,4.0,2,2160215896992
D,,5,D5,whole,4.0,2,2160215896992
rest,,,rest,half,2.0,3,2160215896992
D,,5,D5,whole,4.0,3,2160215896992
D,,5,D5,half,2.0,3,2160215896992
D,,5,D5,half,2.0,4,2160215896992
E,,5,E5,half,2.0,4,2160215896992
F,0,5,F5,half,2.0,4,2160215896992
D,,5,D5,half,2.0,4,2160215896992
D,,5,D5,whole,4.0,5,2160215896992
rest,,,rest,half,2.0,5,2160215896992
D,,5,D5,half,2.0,5,2160215896992
D,,5,D5,half,2.0,6,2160215896992
E,,5,E5,half,2.0,6,2160215896992
F,0,5,F5,half,2.0,6,2160215896992
D,,5,D5,half,2.0,6,2160215896992
E,-1,5,E[-1]5,whole,4.0,7,2160215896992
D,,5,D5,whole,4.0,7,2160215896992
rest,,,rest,half,2.0,8,2160215896992
D,,5,D5,half,2.0,8,2160215896992
C,,5,C5,half,2.0,8,2160215896992
B,-1,4,B[-1]4,half,2.0,8,2160215896992
D,,5,D5,half,2.0,9,2160215896992
B,-1,4,B[-1]4,half,2.0,9,2160215896992
B,,4,B4,whole,4.0,9,2160215896992
rest,,,rest,half,2.0,10,2160215896992
B,,4,B4,half,2.0,10,2160215896992
B,,4,B4,half,2.0,10,2160215896992
B,,4,B4,half,2.0,10,2160215896992
C,,5,C5,half,2.0,11,2160215896992
C,,5,C5,half,2.0,11,2160215896992
D,,5,D5,whole,4.0,11,2160215896992
D,,5,D5,whole,4.0,12,2160215896992
rest,,,rest,half,2.0,12,2160215896992
D,,5,D5,half,2.0,12,2160215896992
C,,5,C5,half,2.0,13,2160215896992
B,-1,4,B[-1]4,half,2.0,13,2160215896992
B,,4,B4,half,2.0,13,2160215896992
B,,4,B4,half,2.0,13,2160215896992
A,,4,A4,whole,4.0,14,2160215896992
G,,4,G4,whole,4.0,14,2160215896992
rest,,,rest,half,2.0,15,2160215896992
D,,5,D5,half,2.0,15,2160215896992
D,,5,D5,half,3.0,15,2160215896992
C,,5,C5,quarter,1.0,15,2160215896992
B,-1,4,B[-1]4,whole,4.0,16,2160215896992
rest,,,rest,half,2.0,16,2160215896992
D,,5,D5,half,2.0,16,2160215896992
E,-1,5,E[-1]5,half,2.0,17,2160215896992
D,,5,D5,half,2.0,17,2160215896992
D,,5,D5,half,2.0,17,2160215896992
B,-1,4,B[-1]4,half,2.0,17,2160215896992
C,,5,C5,whole,4.0,18,2160215896992
D,,5,D5,whole,4.0,18,2160215896992
rest,,,rest,half,2.0,19,2160215896992
C,,5,C5,half,2.0,19,2160215896992
B,-1,4,B[-1]4,quarter,1.0,19,2160215896992
B,,4,B4,quarter,1.0,19,2160215896992
G,,4,G4,half,2.0,19,2160215896992
G,,4,G4,half,2.0,20,2160215896992
E,,4,E4,half,2.0,20,2160215896992
F,1,4,F[1]4,whole,4.0,20,2160215896992
G,,4,G4,whole,6.0,21,2160215896992
rest,,,rest,half,2.0,21,2160215896992
